country,ISO3,region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peru,PER,Latin America & Caribbean,39,36,33,31,29,27,26,25,23,22,21,20,19,18,18,17
Philippines,PHL,East Asia & Pacific,40,39,38,37,37,36,35,34,33,33,32,31,30,30,29,28
Poland,POL,Europe & Central Asia,9,9,8,8,8,8,7,7,7,6,6,6,5,5,5,5
Portugal,PRT,Europe & Central Asia,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4
Qatar,QAT,Middle East & North Africa,12,12,12,11,11,10,10,10,10,9,9,9,9,8,8,8
Romania,ROU,Europe & Central Asia,27,26,25,24,22,21,19,18,16,15,14,13,13,12,12,11
Russia,RUS,Europe & Central Asia,23,22,21,19,18,17,16,14,14,13,12,11,11,10,10,10
Rwanda,RWA,Sub-Saharan Africa,184,170,155,139,124,111,99,88,78,71,64,58,52,48,44,42
Samoa,WSM,East Asia & Pacific,22,21,20,20,20,19,19,19,19,24,19,19,19,18,18,18
San Marino,SMR,Europe & Central Asia,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3
Sao Tome and Principe,STP,Sub-Saharan Africa,89,85,82,78,74,70,67,64,61,59,56,54,52,51,49,47
Saudi Arabia,SAU,Middle East & North Africa,23,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15
Senegal,SEN,Sub-Saharan Africa,135,128,121,113,104,96,89,82,76,70,65,60,56,53,50,47
Serbia,SRB,Europe & Central Asia,13,12,12,11,10,9,8,8,8,8,8,7,7,7,7,7
Seychelles,SYC,Sub-Saharan Africa,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Sierra Leone,SLE,Sub-Saharan Africa,236,230,224,217,211,204,196,188,179,170,160,151,142,133,126,120
Singapore,SGP,East Asia & Pacific,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Slovak Republic,SVK,Europe & Central Asia,12,11,11,11,10,10,10,9,9,9,8,8,8,8,8,7
Slovenia,SVN,Europe & Central Asia,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3
Solomon Islands,SLB,East Asia & Pacific,33,33,33,33,33,33,33,33,33,33,32,31,31,30,29,28
Somalia,SOM,Sub-Saharan Africa,174,174,174,174,174,174,174,172,169,164,160,155,151,146,141,137
South Africa,ZAF,Sub-Saharan Africa,75,77,78,78,77,75,73,71,68,64,54,50,48,43,41,41
South Korea,KOR,East Asia & Pacific,6,6,7,6,6,6,5,5,5,4,4,4,4,4,4,3
South Sudan,SSD,Sub-Saharan Africa,182,173,164,155,147,139,132,126,120,115,111,107,103,99,96,93
Spain,ESP,Europe & Central Asia,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4
Sri Lanka,LKA,South Asia,16,16,15,15,29,14,13,13,12,11,11,11,10,10,10,10
St Kitts and Nevis,KNA,Latin America & Caribbean,19,18,17,16,16,15,15,14,14,13,13,12,12,11,11,11
St Lucia,LCA,Latin America & Caribbean,18,18,17,17,17,17,17,17,17,16,16,16,15,15,15,14
St Vincent and the Grenadines,VCT,Latin America & Caribbean,22,22,22,22,22,22,22,22,21,21,21,20,20,19,19,18
